model_size,checkpoint_step,n_words_correlated,layer_num,method,id
1b,0,1,0,mle,21.415146176167532
1b,0,1,0,pca,14.0
1b,0,1,0,pr,43.44075733148425
1b,0,1,0,2nn,36.385495981498714
1b,0,1,1,mle,22.821011678347602
1b,0,1,1,pca,15.0
1b,0,1,1,pr,43.67915222406835
1b,0,1,1,2nn,38.85814017338674
1b,0,1,2,mle,21.756527826947114
1b,0,1,2,pca,19.0
1b,0,1,2,pr,46.56567515388818
1b,0,1,2,2nn,33.85456283941904
1b,0,1,3,mle,20.87386410893234
1b,0,1,3,pca,18.0
1b,0,1,3,pr,47.052428571338595
1b,0,1,3,2nn,29.964659350637525
1b,0,1,4,mle,20.311783138338868
1b,0,1,4,pca,19.0
1b,0,1,4,pr,48.41704732296488
1b,0,1,4,2nn,27.3950989804774
1b,0,1,5,mle,19.848244865011694
1b,0,1,5,pca,22.0
1b,0,1,5,pr,51.09531607189284
1b,0,1,5,2nn,25.68002974701869
1b,0,1,6,mle,19.48537021136298
1b,0,1,6,pca,23.0
1b,0,1,6,pr,53.31331173438197
1b,0,1,6,2nn,24.24579904937202
1b,0,1,7,mle,19.23662279622221
1b,0,1,7,pca,26.0
1b,0,1,7,pr,55.81182186937677
1b,0,1,7,2nn,23.06166604484783
1b,0,1,8,mle,19.091406625400168
1b,0,1,8,pca,29.0
1b,0,1,8,pr,57.77887546565641
1b,0,1,8,2nn,22.19427096475978
1b,0,1,9,mle,18.884053755719744
1b,0,1,9,pca,29.0
1b,0,1,9,pr,58.96980612320149
1b,0,1,9,2nn,21.358615304540578
1b,0,1,10,mle,18.749717927215766
1b,0,1,10,pca,30.0
1b,0,1,10,pr,60.616730324759054
1b,0,1,10,2nn,20.502272146888913
1b,0,1,11,mle,18.63578006504017
1b,0,1,11,pca,31.0
1b,0,1,11,pr,62.22573908434757
1b,0,1,11,2nn,19.872075737523883
1b,0,1,12,mle,18.548462213643575
1b,0,1,12,pca,32.0
1b,0,1,12,pr,63.55824909189786
1b,0,1,12,2nn,19.30966405927724
1b,0,1,13,mle,18.46471682403508
1b,0,1,13,pca,32.0
1b,0,1,13,pr,65.01098402927701
1b,0,1,13,2nn,18.873149057252142
1b,0,1,14,mle,18.41206383257896
1b,0,1,14,pca,34.0
1b,0,1,14,pr,66.12409573567793
1b,0,1,14,2nn,18.419615528725473
1b,0,1,15,mle,18.357202436642112
1b,0,1,15,pca,36.0
1b,0,1,15,pr,68.09289061275283
1b,0,1,15,2nn,18.084028308158842
1b,0,2,0,mle,17.13207316434779
1b,0,2,0,pca,15.0
1b,0,2,0,pr,44.42945816627767
1b,0,2,0,2nn,25.530636926836266
1b,0,2,1,mle,19.04157220068982
1b,0,2,1,pca,17.0
1b,0,2,1,pr,44.71672641625248
1b,0,2,1,2nn,28.84517548516525
1b,0,2,2,mle,18.99601901871097
1b,0,2,2,pca,21.0
1b,0,2,2,pr,47.61393265936177
1b,0,2,2,2nn,27.61379192458941
1b,0,2,3,mle,18.757289330613187
1b,0,2,3,pca,21.0
1b,0,2,3,pr,48.14879252495718
1b,0,2,3,2nn,25.5193846026996
1b,0,2,4,mle,18.55065632988588
1b,0,2,4,pca,22.0
1b,0,2,4,pr,49.581638904155774
1b,0,2,4,2nn,23.576822395331863
1b,0,2,5,mle,18.25263779427238
1b,0,2,5,pca,24.0
1b,0,2,5,pr,52.29609053356759
1b,0,2,5,2nn,22.100714950192433
1b,0,2,6,mle,18.058685560767483
1b,0,2,6,pca,26.0
1b,0,2,6,pr,54.50237589200878
1b,0,2,6,2nn,21.02978849183841
1b,0,2,7,mle,17.91490064832817
1b,0,2,7,pca,29.0
1b,0,2,7,pr,57.004368475409066
1b,0,2,7,2nn,20.039771332900152
1b,0,2,8,mle,17.783351695290843
1b,0,2,8,pca,31.0
1b,0,2,8,pr,58.98245764475119
1b,0,2,8,2nn,19.208105229324225
1b,0,2,9,mle,17.710827800323788
1b,0,2,9,pca,32.0
1b,0,2,9,pr,60.292541541527946
1b,0,2,9,2nn,18.388640634444595
1b,0,2,10,mle,17.70436787333655
1b,0,2,10,pca,34.0
1b,0,2,10,pr,61.987748039490086
1b,0,2,10,2nn,17.768098208409818
1b,0,2,11,mle,17.681140210496288
1b,0,2,11,pca,35.0
1b,0,2,11,pr,63.58154155847371
1b,0,2,11,2nn,17.24840898322344
1b,0,2,12,mle,17.646530057353324
1b,0,2,12,pca,35.0
1b,0,2,12,pr,64.90717511735642
1b,0,2,12,2nn,16.779636397160235
1b,0,2,13,mle,17.610826953987843
1b,0,2,13,pca,37.0
1b,0,2,13,pr,66.36082453133287
1b,0,2,13,2nn,16.297474568388022
1b,0,2,14,mle,17.582654130084922
1b,0,2,14,pca,37.0
1b,0,2,14,pr,67.48294885089254
1b,0,2,14,2nn,15.912833904394768
1b,0,2,15,mle,17.569324171031248
1b,0,2,15,pca,40.0
1b,0,2,15,pr,69.46121495867482
1b,0,2,15,2nn,15.596747558726843
1b,0,3,0,mle,14.038398153478457
1b,0,3,0,pca,15.0
1b,0,3,0,pr,44.21072391456257
1b,0,3,0,2nn,18.836768368717692
1b,0,3,1,mle,16.05296060876216
1b,0,3,1,pca,15.0
1b,0,3,1,pr,44.42769105469413
1b,0,3,1,2nn,23.02935622312708
1b,0,3,2,mle,16.539816655216953
1b,0,3,2,pca,20.0
1b,0,3,2,pr,47.406376834642
1b,0,3,2,2nn,22.78284066572028
1b,0,3,3,mle,16.57101029991001
1b,0,3,3,pca,20.0
1b,0,3,3,pr,47.81214041828858
1b,0,3,3,2nn,21.370241159806074
1b,0,3,4,mle,16.55063813607432
1b,0,3,4,pca,20.0
1b,0,3,4,pr,49.06729234860117
1b,0,3,4,2nn,19.996522094001133
1b,0,3,5,mle,16.47825060764575
1b,0,3,5,pca,21.0
1b,0,3,5,pr,51.7341756767328
1b,0,3,5,2nn,18.637707410352576
1b,0,3,6,mle,16.45864642044557
1b,0,3,6,pca,25.0
1b,0,3,6,pr,53.878141682044735
1b,0,3,6,2nn,17.635688470277717
1b,0,3,7,mle,16.426095403895378
1b,0,3,7,pca,28.0
1b,0,3,7,pr,56.47245924792696
1b,0,3,7,2nn,16.792316961705552
1b,0,3,8,mle,16.408306197878673
1b,0,3,8,pca,30.0
1b,0,3,8,pr,58.50797512281
1b,0,3,8,2nn,16.129316768260843
1b,0,3,9,mle,16.34262326663735
1b,0,3,9,pca,31.0
1b,0,3,9,pr,59.68781318448354
1b,0,3,9,2nn,15.509949409361282
1b,0,3,10,mle,16.364691403635923
1b,0,3,10,pca,31.0
1b,0,3,10,pr,61.31294265788009
1b,0,3,10,2nn,15.015979200734227
1b,0,3,11,mle,16.38539725646925
1b,0,3,11,pca,32.0
1b,0,3,11,pr,62.918497545845135
1b,0,3,11,2nn,14.597216973240254
1b,0,3,12,mle,16.361791599372474
1b,0,3,12,pca,34.0
1b,0,3,12,pr,64.24712691535434
1b,0,3,12,2nn,14.178642811638447
1b,0,3,13,mle,16.358129011161218
1b,0,3,13,pca,35.0
1b,0,3,13,pr,65.6802827459011
1b,0,3,13,2nn,13.816183649618418
1b,0,3,14,mle,16.329660912252987
1b,0,3,14,pca,35.0
1b,0,3,14,pr,66.73951578603186
1b,0,3,14,2nn,13.504899709105233
1b,0,3,15,mle,16.39190861657718
1b,0,3,15,pca,39.0
1b,0,3,15,pr,68.77858982093166
1b,0,3,15,2nn,13.200198764830823
1b,0,4,0,mle,12.261890841138557
1b,0,4,0,pca,14.0
1b,0,4,0,pr,43.850251726514756
1b,0,4,0,2nn,12.737647330034891
1b,0,4,1,mle,14.012485810619975
1b,0,4,1,pca,15.0
1b,0,4,1,pr,44.04444125108109
1b,0,4,1,2nn,17.3078849285957
1b,0,4,2,mle,14.54714168884366
1b,0,4,2,pca,19.0
1b,0,4,2,pr,46.905928936036865
1b,0,4,2,2nn,18.256953014157627
1b,0,4,3,mle,14.784899969113457
1b,0,4,3,pca,18.0
1b,0,4,3,pr,47.34216533873304
1b,0,4,3,2nn,17.372061813834478
1b,0,4,4,mle,14.909190228567605
1b,0,4,4,pca,20.0
1b,0,4,4,pr,48.64767009257309
1b,0,4,4,2nn,16.386460244228434
1b,0,4,5,mle,14.930010016899056
1b,0,4,5,pca,22.0
1b,0,4,5,pr,51.28077469789264
1b,0,4,5,2nn,15.504668917724047
1b,0,4,6,mle,14.948178075918857
1b,0,4,6,pca,25.0
1b,0,4,6,pr,53.46647101490946
1b,0,4,6,2nn,14.804023147820153
1b,0,4,7,mle,14.924941462693408
1b,0,4,7,pca,27.0
1b,0,4,7,pr,56.002318346132704
1b,0,4,7,2nn,14.205000881958163
1b,0,4,8,mle,14.912669789100427
1b,0,4,8,pca,30.0
1b,0,4,8,pr,58.00782655191401
1b,0,4,8,2nn,13.677094286717967
1b,0,4,9,mle,14.956556224058248
1b,0,4,9,pca,30.0
1b,0,4,9,pr,59.21303777091337
1b,0,4,9,2nn,13.166090574754696
1b,0,4,10,mle,14.979246496801684
1b,0,4,10,pca,31.0
1b,0,4,10,pr,60.86010706415999
1b,0,4,10,2nn,12.704986803667683
1b,0,4,11,mle,15.001497922260297
1b,0,4,11,pca,32.0
1b,0,4,11,pr,62.427438572102
1b,0,4,11,2nn,12.351635098432206
1b,0,4,12,mle,15.016319584029185
1b,0,4,12,pca,33.0
1b,0,4,12,pr,63.73905219118536
1b,0,4,12,2nn,11.992936675652134
1b,0,4,13,mle,15.05201233905822
1b,0,4,13,pca,34.0
1b,0,4,13,pr,65.1617784076034
1b,0,4,13,2nn,11.74222515166954
1b,0,4,14,mle,15.091932457113053
1b,0,4,14,pca,36.0
1b,0,4,14,pr,66.21965286566606
1b,0,4,14,2nn,11.493194570443961
1b,0,4,15,mle,15.1389301899534
1b,0,4,15,pca,39.0
1b,0,4,15,pr,68.15871958096092
1b,0,4,15,2nn,11.269959211154971
1b,2,1,0,mle,21.421989111269358
1b,2,1,0,pca,12.0
1b,2,1,0,pr,42.34610856494543
1b,2,1,0,2nn,35.972388745392756
1b,2,1,1,mle,22.991186724850433
1b,2,1,1,pca,12.0
1b,2,1,1,pr,42.581064044996225
1b,2,1,1,2nn,38.03322817783387
1b,2,1,2,mle,21.863746887651093
1b,2,1,2,pca,16.0
1b,2,1,2,pr,45.48285299690385
1b,2,1,2,2nn,33.737673377393946
1b,2,1,3,mle,20.923797556243013
1b,2,1,3,pca,15.0
1b,2,1,3,pr,45.855045194179574
1b,2,1,3,2nn,30.306908051521678
1b,2,1,4,mle,20.309634075596968
1b,2,1,4,pca,15.0
1b,2,1,4,pr,47.07778465723159
1b,2,1,4,2nn,27.710319368580425
1b,2,1,5,mle,19.753680931657048
1b,2,1,5,pca,18.0
1b,2,1,5,pr,49.67612820170987
1b,2,1,5,2nn,25.92431779152801
1b,2,1,6,mle,19.432533135755612
1b,2,1,6,pca,20.0
1b,2,1,6,pr,51.857675639535294
1b,2,1,6,2nn,24.43576839707069
1b,2,1,7,mle,19.119014011282715
1b,2,1,7,pca,24.0
1b,2,1,7,pr,54.37061417374398
1b,2,1,7,2nn,23.373991902411515
1b,2,1,8,mle,18.913150825254608
1b,2,1,8,pca,25.0
1b,2,1,8,pr,56.320063604189194
1b,2,1,8,2nn,22.4401297567405
1b,2,1,9,mle,18.752463957082643
1b,2,1,9,pca,26.0
1b,2,1,9,pr,57.47340566371408
1b,2,1,9,2nn,21.596654162838153
1b,2,1,10,mle,18.670547109443437
1b,2,1,10,pca,27.0
1b,2,1,10,pr,59.0566757210564
1b,2,1,10,2nn,20.857749081238275
1b,2,1,11,mle,18.584025161437605
1b,2,1,11,pca,28.0
1b,2,1,11,pr,60.59675852287813
1b,2,1,11,2nn,20.27377323282175
1b,2,1,12,mle,18.41786430450489
1b,2,1,12,pca,28.0
1b,2,1,12,pr,61.89512422743449
1b,2,1,12,2nn,19.592999668936777
1b,2,1,13,mle,18.288855303335026
1b,2,1,13,pca,30.0
1b,2,1,13,pr,63.308816359610624
1b,2,1,13,2nn,19.13590463719084
1b,2,1,14,mle,18.24078921866278
1b,2,1,14,pca,31.0
1b,2,1,14,pr,64.38062060807665
1b,2,1,14,2nn,18.742770438402346
1b,2,1,15,mle,18.2160500391802
1b,2,1,15,pca,33.0
1b,2,1,15,pr,66.40253427209028
1b,2,1,15,2nn,18.351725037794893
1b,2,2,0,mle,16.688794948170038
1b,2,2,0,pca,14.0
1b,2,2,0,pr,44.406119585368614
1b,2,2,0,2nn,26.20620694442439
1b,2,2,1,mle,18.67471631190827
1b,2,2,1,pca,14.0
1b,2,2,1,pr,44.59436193226405
1b,2,2,1,2nn,29.619204681633562
1b,2,2,2,mle,18.641491051903426
1b,2,2,2,pca,18.0
1b,2,2,2,pr,47.52446752553053
1b,2,2,2,2nn,27.761414249477912
1b,2,2,3,mle,18.249334000888897
1b,2,2,3,pca,18.0
1b,2,2,3,pr,47.96481704226323
1b,2,2,3,2nn,25.184225384551297
1b,2,2,4,mle,17.908226409390995
1b,2,2,4,pca,19.0
1b,2,2,4,pr,49.29813982366284
1b,2,2,4,2nn,23.288628586264373
1b,2,2,5,mle,17.735620097504842
1b,2,2,5,pca,22.0
1b,2,2,5,pr,52.02962218089052
1b,2,2,5,2nn,21.8197775431118
1b,2,2,6,mle,17.543663374925796
1b,2,2,6,pca,25.0
1b,2,2,6,pr,54.26484022840004
1b,2,2,6,2nn,20.783863291499728
1b,2,2,7,mle,17.3975185339539
1b,2,2,7,pca,28.0
1b,2,2,7,pr,56.80550827221483
1b,2,2,7,2nn,19.91572759976651
1b,2,2,8,mle,17.274789385039178
1b,2,2,8,pca,30.0
1b,2,2,8,pr,58.84205816838281
1b,2,2,8,2nn,19.262887542363917
1b,2,2,9,mle,17.17980200645416
1b,2,2,9,pca,30.0
1b,2,2,9,pr,60.031846463100564
1b,2,2,9,2nn,18.472917467750932
1b,2,2,10,mle,17.129126397873165
1b,2,2,10,pca,32.0
1b,2,2,10,pr,61.72545481641581
1b,2,2,10,2nn,17.830233984572875
1b,2,2,11,mle,17.066279346018312
1b,2,2,11,pca,33.0
1b,2,2,11,pr,63.28694207069578
1b,2,2,11,2nn,17.301251924007662
1b,2,2,12,mle,16.975736210821154
1b,2,2,12,pca,33.0
1b,2,2,12,pr,64.6161892899309
1b,2,2,12,2nn,16.827366256655896
1b,2,2,13,mle,16.906058837902325
1b,2,2,13,pca,34.0
1b,2,2,13,pr,66.09209701063324
1b,2,2,13,2nn,16.377461440954317
1b,2,2,14,mle,16.81768411370447
1b,2,2,14,pca,35.0
1b,2,2,14,pr,67.16191928108306
1b,2,2,14,2nn,15.98228058121698
1b,2,2,15,mle,16.87514116482344
1b,2,2,15,pca,37.0
1b,2,2,15,pr,69.18570561809635
1b,2,2,15,2nn,15.642714362143247
1b,2,3,0,mle,13.964887276215531
1b,2,3,0,pca,13.0
1b,2,3,0,pr,44.670082063064214
1b,2,3,0,2nn,18.605644090483082
1b,2,3,1,mle,15.811470421291189
1b,2,3,1,pca,15.0
1b,2,3,1,pr,44.85256002460607
1b,2,3,1,2nn,23.15550360528072
1b,2,3,2,mle,16.27429123558884
1b,2,3,2,pca,20.0
1b,2,3,2,pr,47.857912374349
1b,2,3,2,2nn,22.96731956817917
1b,2,3,3,mle,16.285582445970935
1b,2,3,3,pca,20.0
1b,2,3,3,pr,48.291460939507495
1b,2,3,3,2nn,21.642722385039406
1b,2,3,4,mle,16.30923801163808
1b,2,3,4,pca,19.0
1b,2,3,4,pr,49.623468785980414
1b,2,3,4,2nn,20.32965827461111
1b,2,3,5,mle,16.25807749172971
1b,2,3,5,pca,22.0
1b,2,3,5,pr,52.31826934867628
1b,2,3,5,2nn,19.254599743770445
1b,2,3,6,mle,16.26730779506776
1b,2,3,6,pca,25.0
1b,2,3,6,pr,54.54793847608768
1b,2,3,6,2nn,18.405749684424663
1b,2,3,7,mle,16.184804054686154
1b,2,3,7,pca,27.0
1b,2,3,7,pr,57.14654843878488
1b,2,3,7,2nn,17.59804244252092
1b,2,3,8,mle,16.16193639926255
1b,2,3,8,pca,30.0
1b,2,3,8,pr,59.18667769824746
1b,2,3,8,2nn,16.99598877480915
1b,2,3,9,mle,16.10796651307186
1b,2,3,9,pca,30.0
1b,2,3,9,pr,60.3834421792118
1b,2,3,9,2nn,16.31252680707392
1b,2,3,10,mle,16.108771766845358
1b,2,3,10,pca,32.0
1b,2,3,10,pr,62.07329337342962
1b,2,3,10,2nn,15.795103106320742
1b,2,3,11,mle,16.103319319982393
1b,2,3,11,pca,32.0
1b,2,3,11,pr,63.66333616527985
1b,2,3,11,2nn,15.371969992632483
1b,2,3,12,mle,16.088805314101386
1b,2,3,12,pca,33.0
1b,2,3,12,pr,64.97751081925524
1b,2,3,12,2nn,14.981839704409884
1b,2,3,13,mle,16.137689122539925
1b,2,3,13,pca,34.0
1b,2,3,13,pr,66.44139669546217
1b,2,3,13,2nn,14.585516685474001
1b,2,3,14,mle,16.09688642938501
1b,2,3,14,pca,35.0
1b,2,3,14,pr,67.53865116414012
1b,2,3,14,2nn,14.27355790310176
1b,2,3,15,mle,16.155507769861632
1b,2,3,15,pca,39.0
1b,2,3,15,pr,69.5590550617936
1b,2,3,15,2nn,14.00102075954141
1b,2,4,0,mle,12.349041964335987
1b,2,4,0,pca,13.0
1b,2,4,0,pr,42.622948965732895
1b,2,4,0,2nn,12.910987119675001
1b,2,4,1,mle,14.055067541131741
1b,2,4,1,pca,13.0
1b,2,4,1,pr,42.78259642390055
1b,2,4,1,2nn,17.587035453682912
1b,2,4,2,mle,14.649448817114536
1b,2,4,2,pca,16.0
1b,2,4,2,pr,45.5970962996063
1b,2,4,2,2nn,18.39805585539433
1b,2,4,3,mle,14.848533287266307
1b,2,4,3,pca,16.0
1b,2,4,3,pr,46.0123055981126
1b,2,4,3,2nn,17.53443341829853
1b,2,4,4,mle,14.971002398045774
1b,2,4,4,pca,16.0
1b,2,4,4,pr,47.24841519529978
1b,2,4,4,2nn,16.71639195097733
1b,2,4,5,mle,14.939059923099148
1b,2,4,5,pca,19.0
1b,2,4,5,pr,49.83246741074486
1b,2,4,5,2nn,15.919134877105703
1b,2,4,6,mle,14.977032939307511
1b,2,4,6,pca,23.0
1b,2,4,6,pr,52.018592774473106
1b,2,4,6,2nn,15.257774592732227
1b,2,4,7,mle,14.981498442606325
1b,2,4,7,pca,26.0
1b,2,4,7,pr,54.53079082002172
1b,2,4,7,2nn,14.689766004224293
1b,2,4,8,mle,15.001713091630133
1b,2,4,8,pca,28.0
1b,2,4,8,pr,56.542538279146
1b,2,4,8,2nn,14.142996902509054
1b,2,4,9,mle,15.019602040035034
1b,2,4,9,pca,28.0
1b,2,4,9,pr,57.67464266615094
1b,2,4,9,2nn,13.596949762578143
1b,2,4,10,mle,15.055457161286116
1b,2,4,10,pca,29.0
1b,2,4,10,pr,59.3527004187354
1b,2,4,10,2nn,13.105931805992551
1b,2,4,11,mle,15.075536687443487
1b,2,4,11,pca,29.0
1b,2,4,11,pr,60.9164496873432
1b,2,4,11,2nn,12.750773666338976
1b,2,4,12,mle,15.042008722943985
1b,2,4,12,pca,30.0
1b,2,4,12,pr,62.161524084563986
1b,2,4,12,2nn,12.381614270724317
1b,2,4,13,mle,15.091099686783691
1b,2,4,13,pca,32.0
1b,2,4,13,pr,63.60045181898008
1b,2,4,13,2nn,12.109008792869274
1b,2,4,14,mle,15.126136789834831
1b,2,4,14,pca,33.0
1b,2,4,14,pr,64.62743395904562
1b,2,4,14,2nn,11.892365630305756
1b,2,4,15,mle,15.14172497700493
1b,2,4,15,pca,35.0
1b,2,4,15,pr,66.61958069839794
1b,2,4,15,2nn,11.63848178590564
1b,64,1,0,mle,20.878866763270164
1b,64,1,0,pca,7.0
1b,64,1,0,pr,32.539737301753405
1b,64,1,0,2nn,35.751560284003695
1b,64,1,1,mle,22.473002396987894
1b,64,1,1,pca,5.0
1b,64,1,1,pr,20.784941928654472
1b,64,1,1,2nn,37.95873026911685
1b,64,1,2,mle,21.237429328540998
1b,64,1,2,pca,5.0
1b,64,1,2,pr,16.06927356660957
1b,64,1,2,2nn,33.40086152842225
1b,64,1,3,mle,20.21179531142345
1b,64,1,3,pca,5.0
1b,64,1,3,pr,13.39539915057564
1b,64,1,3,2nn,29.6407520865053
1b,64,1,4,mle,19.385096447656405
1b,64,1,4,pca,5.0
1b,64,1,4,pr,11.956152387397244
1b,64,1,4,2nn,27.514959534178267
1b,64,1,5,mle,18.563395990236636
1b,64,1,5,pca,5.0
1b,64,1,5,pr,10.71323424095533
1b,64,1,5,2nn,25.564384072063003
1b,64,1,6,mle,17.807218096293123
1b,64,1,6,pca,5.0
1b,64,1,6,pr,9.837226953733536
1b,64,1,6,2nn,24.385342432654337
1b,64,1,7,mle,17.103334559722636
1b,64,1,7,pca,5.0
1b,64,1,7,pr,9.202730020953302
1b,64,1,7,2nn,23.358781813800352
1b,64,1,8,mle,16.475273049569875
1b,64,1,8,pca,5.0
1b,64,1,8,pr,8.651547442921194
1b,64,1,8,2nn,22.48105459861354
1b,64,1,9,mle,15.87760645604627
1b,64,1,9,pca,5.0
1b,64,1,9,pr,8.105437158946462
1b,64,1,9,2nn,21.590511975931786
1b,64,1,10,mle,15.346268177583534
1b,64,1,10,pca,5.0
1b,64,1,10,pr,7.618366589920579
1b,64,1,10,2nn,20.985688234463083
1b,64,1,11,mle,14.92742179446377
1b,64,1,11,pca,5.0
1b,64,1,11,pr,7.16265369388611
1b,64,1,11,2nn,20.419248135926672
1b,64,1,12,mle,14.530952732984742
1b,64,1,12,pca,5.0
1b,64,1,12,pr,6.792093346682798
1b,64,1,12,2nn,19.893527233984543
1b,64,1,13,mle,14.157478466518665
1b,64,1,13,pca,5.0
1b,64,1,13,pr,6.430749985698488
1b,64,1,13,2nn,19.451983075942646
1b,64,1,14,mle,13.856877491694206
1b,64,1,14,pca,5.0
1b,64,1,14,pr,6.133017189692347
1b,64,1,14,2nn,19.071711683014023
1b,64,1,15,mle,13.594182117335952
1b,64,1,15,pca,5.0
1b,64,1,15,pr,6.095530434247484
1b,64,1,15,2nn,18.862992982372017
1b,64,2,0,mle,16.93975600557153
1b,64,2,0,pca,8.0
1b,64,2,0,pr,32.465091441628815
1b,64,2,0,2nn,25.762634797812655
1b,64,2,1,mle,18.69093828844427
1b,64,2,1,pca,6.0
1b,64,2,1,pr,20.875233090832396
1b,64,2,1,2nn,29.285445347684032
1b,64,2,2,mle,18.5395687960881
1b,64,2,2,pca,5.0
1b,64,2,2,pr,16.127403558440953
1b,64,2,2,2nn,27.093027863817024
1b,64,2,3,mle,18.05163975666066
1b,64,2,3,pca,5.0
1b,64,2,3,pr,13.454760504263016
1b,64,2,3,2nn,24.52107510231135
1b,64,2,4,mle,17.56021560203722
1b,64,2,4,pca,5.0
1b,64,2,4,pr,12.02135002109952
1b,64,2,4,2nn,22.80216368291846
1b,64,2,5,mle,17.022094601194695
1b,64,2,5,pca,5.0
1b,64,2,5,pr,10.772585174739135
1b,64,2,5,2nn,21.469025119442843
1b,64,2,6,mle,16.539875630039848
1b,64,2,6,pca,5.0
1b,64,2,6,pr,9.891912941402895
1b,64,2,6,2nn,20.53414033092871
1b,64,2,7,mle,16.011290160703542
1b,64,2,7,pca,5.0
1b,64,2,7,pr,9.261546711138614
1b,64,2,7,2nn,19.73995973207479
1b,64,2,8,mle,15.534692350857538
1b,64,2,8,pca,5.0
